* = compulsory to fill in,,,,Metadata,,Target and language,,,,,,,Data Source,,,,,,Model (not in generalisation),,Model performance,,,,,,,,,,Ethical considerations,,Metadata (not in generalisation),,,,,,Access (not in generalisation),
,Compulsory,Compulsory,,Compulsory,Compulsory,Compulsory,Compulsory,Compulsory,Compulsory,,,Compulsory,,,Compulsory,,Compulsory,Compulsory,Compulsory,Compulsory,Compulsory,,,,,,,,,,,Compulsory,,,,,,Compulsory,Compulsory,Compulsory
A unique identifier for the model. Use only uncased ,"The latent outcome (e.g., construct, behaviour) that is assessed, predicted, or classified.","Describe the overall study type, either as development or usage","Describe the study type in more detail, such as original development, replication, independent replication, extension/update of a model, or use in a new context.","Citation for the model and/or name of the person, group or organisation developing the model or using it.
See ""Full references"" for the full reference",Contact details about who to contact with questions about the model or the generalisation performance,"Development: The specific outcome the model was trained to or the labelling criteria used to classify the data.
Usage: the outcome the predictions were associated with","Development: The language used in the model.
Usage: the language on which the model was applied to","The type of language used (e.g., social media, probed, free-text).","The level of analysis (message, person, group).",Number of training observations (not in usage),,Description of where the training data source comes from ,Description of the training data source (not in usage),,"Type of labels used in training (e.g., self-report, annotation, interview scores, behaviour, best-estimate assessments, etc...)",Does the model include a language domain distribution of the training set for assessing language domain similarity with new data?,Link to data if it can be openly shared,Link to code if it can be openly shared,"Type of model used for prediction (such as ridge regression, L2 logistic regression)","The features used in the model (e.g., word embeddings, topics, demographics)",Metric used to validate the model,Accuracy from N-Fold cross-validation,"Accuracy on a held-out, out-of-population test sample","Accuracy on a second held-out, out-of-population test sample",A Sequential Evaluation with Model Pre-registration,Describe any additional metrics from the n-fold cross-validation (if any).,Describe any additional metrics from the held-out (if any).,Describe any additional metrics from the held-out (if any).,Describe any additional metrics from the SEMP procedure (if any).,Describe and report if there were any additional evaluation metrics. ,"If the research received ethical approval, add the application ID.",Describe ethical considerations or concerns that went into the model development and testing.,Approximate date the model was created,Usage restrictions for the model,"Indicates whether the model is original or updated since publication (e.g., using a newer LLM); details about this can be described under Miscellaneous.",Describe any other relevant information or recommendations.,,"A unique identifier for the model, used to reference it within functions. The name should be in lowercase, and words separated by underscores. It is recommended to follow the naming convention: construct_model_reference. Additional descriptors can be appended to provide further clarification or to differentiate between versions, such as appending outcome, domain, or reference.","Where the model can be accessed (e.g., OSF.io, github.com, huggingface.com)","Specify how the function should handle the model argument. Setting it to “fine-tuned“ or “text-trained“ will apply their respective default behaviors, while setting it to “implicit motives“ will trigger specific steps tailored to these models."
Name,Construct_Concept_Behaviours,Use_case_binary,Use_case_detailed,Reference,Contact_details,Outcome,Language,Language_type,Level,N_training,N_evaluation_or_N_generalisation,Source,Participants_training,Participants_evaluation_or_generalisation,Label_types,Language_domain_distribution ,Open_data,Open_code,Model_type,Features,Validation_metric1,N_fold_cv_accuracy_1_not_in_generalisation,Held_out_accuracy_1,Held_out_accuracy_2,SEMP_accuracy_1,Other_metrics_n_fold_cv,Other_metrics_held_out_1,Other_metrics_held_out_2,Other_metrics_SEMP,Other_evaluation,Ethical_approval,Ethical_statement,Date,License,Original,Miscellaneous,Command_info,Name_description,Path,Model_Type
depression_select_phq9_roberta23_gu2024,depression,development,,"Gu et al., 2024",zhuojun.gu.se@gmail.com,PHQ-9,English,Probed (select words),Person,963,145,Prolific,"Development set: Unscreened and screened respondents. Screened participants reported being diagnosed with an ongoing mental health diagnosis of Major Depressive Disorder (MDD; 258) or Generalized Anxiety Disorder (GAD; 259), and 491 were unscreened. 
571 female, 388 male, 2 preferred not to say, 2 did not respond. The mean age is 33.3 (SD: 11.2; range: 18 – 77) years. 
Participants reported being from the U.S. (n = 284) and the U.K. (n = 679).
","Prospective test set: 145 unscreened participants; 101 females, 43 males, and 1 other. Mean age: 41.6 (SD: 12.6, range: 19 – 81) years; Nationality: 126 from the U.K., 5 from the U.S., and 14 from other countries. All reported English as their first language.",self-report,No,"Only the prospective dataset.
https://osf.io/syren/files/osfstorage/6673223c2026e9015a23de72",https://osf.io/udxhg/?view_only=3e031c606db0454c8d78cf8d20c3d64b,ridge regression,roberta L23,Pearson r,0.73,-,,0.72,-,-,-,Spearman: .75 / MAE: 3.91 / RMSE: 5.09,,Ethics Application 2020-00730,The Swedish National Ethics Review Board deemed this research study exempt from requiring ethical approval according to Swedish Law (see §§ 3-4 of the Act [2003:460] on ethical review of research involving humans in Sweden).,2024,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/response_format_2024/depressionselect_robertaL23_phq9_Gu2024.rds,text-trained
depression_words_phq9_roberta23_gu2024,depression,development,,"Gu et al., 2024",zhuojun.gu.se@gmail.com,PHQ-9,English,Probed (write words),Person,963,145,Prolific,"Development set: Unscreened and screened respondents. Screened participants reported being diagnosed with an ongoing mental health diagnosis of Major Depressive Disorder (MDD; 258) or Generalized Anxiety Disorder (GAD; 259), and 491 were unscreened. 
571 female, 388 male, 2 preferred not to say, 2 did not respond. The mean age is 33.3 (SD: 11.2; range: 18 – 77) years. 
Participants reported being from the U.S. (n = 284) and the U.K. (n = 679).
","Prospective test set: 145 unscreened participants; 101 females, 43 males, and 1 other. Mean age: 41.6 (SD: 12.6, range: 19 – 81) years; Nationality: 126 from the U.K., 5 from the U.S., and 14 from other countries. All reported English as their first language.",self-report,No,"Only the prospective dataset.
https://osf.io/syren/files/osfstorage/6673223c2026e9015a23de72",https://osf.io/udxhg/?view_only=3e031c606db0454c8d78cf8d20c3d64b,ridge regression,roberta L23,Pearson r,0.68,-,,0.69,-,-,-,Spearman: .70 / MAE: 4.34 / RMSE: 5.40,,Ethics Application 2020-00731,The Swedish National Ethics Review Board deemed this research study exempt from requiring ethical approval according to Swedish Law (see §§ 3-4 of the Act [2003:460] on ethical review of research involving humans in Sweden).,2024,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/response_format_2024/depressionword_robertaL23_phq9_Gu2024.rds,text-trained
depression_phrases_phq9_roberta23_gu2024,depression,development,,"Gu et al., 2024",zhuojun.gu.se@gmail.com,PHQ-9,English,Probed (write phrases),Person,963,145,Prolific,"Development set: Unscreened and screened respondents. Screened participants reported being diagnosed with an ongoing mental health diagnosis of Major Depressive Disorder (MDD; 258) or Generalized Anxiety Disorder (GAD; 259), and 491 were unscreened. 
571 female, 388 male, 2 preferred not to say, 2 did not respond. The mean age is 33.3 (SD: 11.2; range: 18 – 77) years. 
Participants reported being from the U.S. (n = 284) and the U.K. (n = 679).
","Prospective test set: 145 unscreened participants; 101 females, 43 males, and 1 other. Mean age: 41.6 (SD: 12.6, range: 19 – 81) years; Nationality: 126 from the U.K., 5 from the U.S., and 14 from other countries. All reported English as their first language.",self-report,No,"Only the prospective dataset.
https://osf.io/syren/files/osfstorage/6673223c2026e9015a23de72",https://osf.io/udxhg/?view_only=3e031c606db0454c8d78cf8d20c3d64b,ridge regression,roberta L23,Pearson r,0.69,-,,0.72,-,-,-,Spearman: .75 / MAE: 4.26 / RMSE: 5.28,,Ethics Application 2020-00732,The Swedish National Ethics Review Board deemed this research study exempt from requiring ethical approval according to Swedish Law (see §§ 3-4 of the Act [2003:460] on ethical review of research involving humans in Sweden).,2024,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/response_format_2024/depressionphrase_robertaL23_phq9_Gu2024.rds,text-trained
depression_text_phq9_roberta23_gu2024,depression,development,,"Gu et al., 2024",zhuojun.gu.se@gmail.com,PHQ-9,English,Probed (write text),Person,963,145,Prolific,"Development set: Unscreened and screened respondents. Screened participants reported being diagnosed with an ongoing mental health diagnosis of Major Depressive Disorder (MDD; 258) or Generalized Anxiety Disorder (GAD; 259), and 491 were unscreened. 
571 female, 388 male, 2 preferred not to say, 2 did not respond. The mean age is 33.3 (SD: 11.2; range: 18 – 77) years. 
Participants reported being from the U.S. (n = 284) and the U.K. (n = 679).
","Prospective test set: 145 unscreened participants; 101 females, 43 males, and 1 other. Mean age: 41.6 (SD: 12.6, range: 19 – 81) years; Nationality: 126 from the U.K., 5 from the U.S., and 14 from other countries. All reported English as their first language.",self-report,No,"Only the prospective dataset.
https://osf.io/syren/files/osfstorage/6673223c2026e9015a23de72",https://osf.io/udxhg/?view_only=3e031c606db0454c8d78cf8d20c3d64b,ridge regression,roberta L23,Pearson r,0.69,-,,0.66,-,-,-,Spearman: .69 / MAE: 4.57 / RMSE: 5.60,,Ethics Application 2020-00733,The Swedish National Ethics Review Board deemed this research study exempt from requiring ethical approval according to Swedish Law (see §§ 3-4 of the Act [2003:460] on ethical review of research involving humans in Sweden).,2024,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/response_format_2024/depressiontext_robertaL23_phq9_Gu2024.rds,text-trained
depression_select_cesd_roberta23_gu2024,depression,development,,"Gu et al., 2024",zhuojun.gu.se@gmail.com,CES-D,English,Probed (select words),Person,963,145,Prolific,"Development set: Unscreened and screened respondents. Screened participants reported being diagnosed with an ongoing mental health diagnosis of Major Depressive Disorder (MDD; 258) or Generalized Anxiety Disorder (GAD; 259), and 491 were unscreened. 
571 female, 388 male, 2 preferred not to say, 2 did not respond. The mean age is 33.3 (SD: 11.2; range: 18 – 77) years. 
Participants reported being from the U.S. (n = 284) and the U.K. (n = 679).
","Prospective test set: 145 unscreened participants; 101 females, 43 males, and 1 other. Mean age: 41.6 (SD: 12.6, range: 19 – 81) years; Nationality: 126 from the U.K., 5 from the U.S., and 14 from other countries. All reported English as their first language.",self-report,No,"Only the prospective dataset.
https://osf.io/syren/files/osfstorage/6673223c2026e9015a23de72",https://osf.io/udxhg/?view_only=3e031c606db0454c8d78cf8d20c3d64b,ridge regression,roberta L23,Pearson r,0.77,-,,0.79,-,-,-,Spearman: .79 / MAE: 7.10 / RMSE: 9.17,,Ethics Application 2020-00734,The Swedish National Ethics Review Board deemed this research study exempt from requiring ethical approval according to Swedish Law (see §§ 3-4 of the Act [2003:460] on ethical review of research involving humans in Sweden).,2024,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/response_format_2024/depressionselect_robertaL23_cesd_Gu2024.rds,text-trained
depression_word_cesd_roberta23_gu2024,depression,development,,"Gu et al., 2024",zhuojun.gu.se@gmail.com,CES-D,English,Probed (write words),Person,963,145,Prolific,"Development set: Unscreened and screened respondents. Screened participants reported being diagnosed with an ongoing mental health diagnosis of Major Depressive Disorder (MDD; 258) or Generalized Anxiety Disorder (GAD; 259), and 491 were unscreened. 
571 female, 388 male, 2 preferred not to say, 2 did not respond. The mean age is 33.3 (SD: 11.2; range: 18 – 77) years. 
Participants reported being from the U.S. (n = 284) and the U.K. (n = 679).
","Prospective test set: 145 unscreened participants; 101 females, 43 males, and 1 other. Mean age: 41.6 (SD: 12.6, range: 19 – 81) years; Nationality: 126 from the U.K., 5 from the U.S., and 14 from other countries. All reported English as their first language.",self-report,No,"Only the prospective dataset.
https://osf.io/syren/files/osfstorage/6673223c2026e9015a23de72",https://osf.io/udxhg/?view_only=3e031c606db0454c8d78cf8d20c3d64b,ridge regression,roberta L23,Pearson r,0.73,-,,0.76,-,-,-,Spearman: .76 / MAE: 8.15 / RMSE: 10.10,,Ethics Application 2020-00735,The Swedish National Ethics Review Board deemed this research study exempt from requiring ethical approval according to Swedish Law (see §§ 3-4 of the Act [2003:460] on ethical review of research involving humans in Sweden).,2024,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/response_format_2024/depressionword_robertaL23_cesd_Gu2024.rds,text-trained
depression_phrase_cesd_roberta23_gu2024,depression,development,,"Gu et al., 2024",zhuojun.gu.se@gmail.com,CES-D,English,Probed (write phrases),Person,963,145,Prolific,"Development set: Unscreened and screened respondents. Screened participants reported being diagnosed with an ongoing mental health diagnosis of Major Depressive Disorder (MDD; 258) or Generalized Anxiety Disorder (GAD; 259), and 491 were unscreened. 
571 female, 388 male, 2 preferred not to say, 2 did not respond. The mean age is 33.3 (SD: 11.2; range: 18 – 77) years. 
Participants reported being from the U.S. (n = 284) and the U.K. (n = 679).
","Prospective test set: 145 unscreened participants; 101 females, 43 males, and 1 other. Mean age: 41.6 (SD: 12.6, range: 19 – 81) years; Nationality: 126 from the U.K., 5 from the U.S., and 14 from other countries. All reported English as their first language.",self-report,No,"Only the prospective dataset.
https://osf.io/syren/files/osfstorage/6673223c2026e9015a23de72",,ridge regression,roberta L23,Pearson r,0.75,-,,0.76,-,-,-,Spearman: .78 / MAE: 8.40 / RMSE: 10.29,,Ethics Application 2020-00736,The Swedish National Ethics Review Board deemed this research study exempt from requiring ethical approval according to Swedish Law (see §§ 3-4 of the Act [2003:460] on ethical review of research involving humans in Sweden).,2024,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/response_format_2024/depressionphrase_robertaL23_cesd_Gu2024.rds,text-trained
depression_text_cesd_roberta23_gu2024,depression,development,,"Gu et al., 2024",zhuojun.gu.se@gmail.com,CES-D,English,Probed (write text),Person,963,145,Prolific,"Development set: Unscreened and screened respondents. Screened participants reported being diagnosed with an ongoing mental health diagnosis of Major Depressive Disorder (MDD; 258) or Generalized Anxiety Disorder (GAD; 259), and 491 were unscreened. 
571 female, 388 male, 2 preferred not to say, 2 did not respond. The mean age is 33.3 (SD: 11.2; range: 18 – 77) years. 
Participants reported being from the U.S. (n = 284) and the U.K. (n = 679).
","Prospective test set: 145 unscreened participants; 101 females, 43 males, and 1 other. Mean age: 41.6 (SD: 12.6, range: 19 – 81) years; Nationality: 126 from the U.K., 5 from the U.S., and 14 from other countries. All reported English as their first language.",self-report,No,"Only the prospective dataset.
https://osf.io/syren/files/osfstorage/6673223c2026e9015a23de72",https://osf.io/udxhg/?view_only=3e031c606db0454c8d78cf8d20c3d64b,ridge regression,roberta L23,Pearson r,0.74,-,,0.73,-,-,-,Spearman: .76 / MAE: 8.58 / RMSE: 10.62,,Ethics Application 2020-00737,The Swedish National Ethics Review Board deemed this research study exempt from requiring ethical approval according to Swedish Law (see §§ 3-4 of the Act [2003:460] on ethical review of research involving humans in Sweden).,2024,open,Yes,,,construct_languagetype_outcome_model_reference; where the number in the model specifies the layer.,https://github.com/theharmonylab/open_models/raw/main/response_format_2024/depressiontext_robertaL23_cesd_Gu2024.rds,text-trained
