;satisfactiontexts;harmonytexts
1;Jag är inte nöjd med mitt liv. Jag är tacksam för det jag har och var jag är för situationen kan alltid vara värre. Jag vill ha en karriär och en examen, jag vill gå ner i vikt och jag har inte nått dessa mål än. Så jag är inte nöjd med mitt liv just nu. Jag känner att jag kan uppnå mer.;Jag är inte i harmoni i mitt liv så mycket som jag skulle vilja vara. Jag skulle vilja vara mer fridfull och mer produktiv. Jag vill ha ett balanserat liv. Jag skulle vilja spendera mer tid med min familj och vara mer fokuserad på mina mål och var jag vill vara i livet och vad jag vill uppnå.
2;Jag är definitivt ganska nöjd just nu. Jag har varit mycket besviken i flera månader när jag var arbetslös och nu när jag arbetar är jag mycket nöjd med att veta att jag kan hjälpa till med min familjs börda. Jag är nöjd med min resa inom yoga och med det jag har lärt mig i detta nu hektiska liv. Jag är nöjd med att veta att jag kan ge och känner att jag vet att jag kan ta hand om mitt barn.;Jag är mer i harmoni nu än jag var förra veckan eftersom jag äntligen har fått ett nytt jobb och har kommit till rätta med det. Jag känner mig lugn och bekväm med att veta att jag kan hjälpa till med räkningar och tjäna pengar. Mina tvångstankar om pengar har lagt sig och nu känner jag mig mer tillfreds med mitt liv. Jag känner mig mindre orolig så att jag kan meditera och yoga för att förbereda mig för hårt arbete igen och vara ifred med att interagera med nya människor och auktoriteter igen.
3;jag är väldigt nöjd. Jag lär mig och gör de saker jag vill göra med mitt liv. Jag klarar mig bra på det området.;jag känner att jag är i harmoni med livet. Jag verkar vara väl kopplad till människorna runt omkring mig. Jag känner att mina kontakter har varit starkare än någonsin. Jag mår bra och är framgångsrik
4;Jag känner mig vilsen. Jag vet inte vad jag ska göra längre. Jag är osäker på mina val och om de kommer att leda mig på rätt väg eller inte. Jag vet inte om jag kan vara lycklig och hitta min plats och mitt syfte i den här världen.;Mina tankar känns utspridda, konstruerade och motsägelsefulla. Inget i mitt liv är vettigt tillsammans längre. Jag känner att jag försöker lägga ett pussel, men alla bitar kommer från olika uppsättningar.
5;Generellt är jag väldigt nöjd. Jag skulle gynnas av mer finansiell säkerhet, eftersom det för närvarande är svårt att betala alla mina räkningar medan jag är en heltidsstudent. Även om jag har en del funderingar om pengar är mina grundläggande behov tillgodosedda och livet är mycket tillfredsställande. Jag har gott om tid att njuta av livet och spendera all kvalitetstid med min fru och hundar så det finns inte mycket att klaga på. Jag har kärlek och mina grundläggande behov tillgodoses så jag är nöjd.;I allmänhet är jag i harmoni. Eftersom mina ekonomiska behov inte riktigt är tillgodosedda och min hälsa är något ansträngd, har jag svårt att säga att jag är i harmoni. Jag skulle kunna använda mer hälsa, mindre smärta och mer pengar för att känna att jag verkligen har ett balanserat liv. På det hela taget är min disharmoni en tillfällig effekt av en långsiktig framgång (att gå i skolan på heltid), och min hälsa är inte dödlig så jag kan känna stor tröst i att veta att en dag kommer mina omständigheter att förändras och saker har potential att bli mer harmonisk.
6;Jag är nöjd på grund av olika positiva aspekter i mitt liv. Jag mår bra med mig själv om jag vet att jag försökte mitt bästa och försökte allt möjligt inom min makt. För att avgöra om jag är nöjd eller inte finns det en standard som är satt och om den inte uppfylls kommer den att göra mig besviken.;Jag tror att jag är i harmoni på grund av olika aspekter i mitt liv. Först och främst känner jag att det är bra att vara rationell och perspektiv inom sig själv och sin omgivning. Om du har en bra känsla för sakerna omkring dig kan du göra en bra bedömning om du är i harmoni eller inte.
7;Ja, överlag är jag nöjd med mitt liv. Många upp- och nedgångar, mest nedgångar, men det är så man kommer över nedgångarna och går upp! Jag har inga pengar, men jag är okej med det. Jag har tillräckligt att äta och dricka. Inga pengar för att betala alla räkningar, men jaja. Hade en stor olycka och har varit hemma sedan juli, och har precis börjat förbättras tillräckligt för att sitta vid datorn. Jag är nöjd, för det kunde ha varit mycket värre, eftersom jag hade njursvikt kunde jag ha hamnat i dialys, vilket jag undvek. Jag kunde ha tappat benet, men i stället jobbar jag fortfarande på att gå. Men jag kan gå, långsamt, men bättre än inte. Jag är nöjd med det jag har, inga klagomål.;Att vara i harmoni med naturen är viktigt för mig. Jag älskar att titta på fåglarna och alla andra levande varelser som strövar omkring. Jag älskar allt som växer, och det finns ett syfte med allt. Jag känner frid när jag är nära havet eller på en båt. Jag känner mig lugn och i harmoni när jag är på bakgården och ser alla växter, träd, blommor och ogräs växa. Det är tråkigt att så många människor inte bryr sig om naturen.
8;Jag är väldigt nöjd i mitt liv. Jag har fått alla saker som jag har bestämt mig för att göra. Jag hittade min själsfrände och vi är lyckligt gifta. Jag har mitt drömjobb som jag tycker om att gå till måndag till fredag. Jag har tillräckligt med pengar att leva och några många att spela med. Jag är väldigt nöjd med mitt liv.;Mitt liv är i harmoni. Jag har ett balanserat arbetsliv. Mitt arbete stannar på jobbet. Jag tar aldrig hem den. Mitt hemliv stör inte arbetet. På helgerna kan jag ha roligt och släppa utan att oroa mig för jobbet.
9;Jag är helnöjd med mitt liv både hemma och yrkesmässigt. Jag är överlycklig när varje dag kommer och ångrar verkligen ingenting. Jag känner mig trygg, har mycket självkänsla och ser fram emot framtiden. I grund och botten älskar jag livet.;Det viktigaste i mitt liv är mina barn och min fru. Dessa områden får mig att må väldigt bra och givande. Jag känner mig önskad, älskad och omhuldad hela tiden. Jag har aldrig ett klagomål och njuter av varje dag.
10;Jag är nöjd men jag kan inte säga helt än. Det finns fortfarande saker som jag vill åstadkomma och livssituationer som jag ännu inte har upplevt för att få mitt liv att kännas bra. Jag är nöjd med att jag har hittat det viktigaste i livet och det är min andliga relation till Gud. Det är det viktigaste i livet. Jag vill ha fler nära vänner och eventuellt äktenskap och då kommer jag återigen känna att livet är tillfredsställande.;"Jag skulle säga att jag är i harmoni eftersom jag har lärt mig mycket i livet. När jag var i tjugoårsåldern hade jag inte denna visdom. Jag var mindre lugn. Nu på grund av allt jag har lärt mig; inte bara bokkunskap utan livskunskap jag är ifred. Jag vet varför jag känner som jag gör. Jag uppskattar de små sakerna som andra människor, naturen, Gud och jag inser att det är klokt att sätta de små sakerna i livet först."
